count,nodata,grid_id,station_name,buffer_km,valid_pixels,nodata_pixels,total_pixels,prop_nodata
0,121.0,20627,Aisa FM,20.0,0,121.0,121.0,1.0
0,110.0,20457,Aisa FM,20.0,0,110.0,110.0,1.0
1,120.0,20798,Aisa FM,20.0,1,120.0,121.0,0.9917355371900827
0,121.0,20628,Aisa FM,20.0,0,121.0,121.0,1.0
0,110.0,20458,Aisa FM,20.0,0,110.0,110.0,1.0
2,119.0,20799,Aisa FM,20.0,2,119.0,121.0,0.9834710743801653
0,121.0,19946,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,20287,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,20117,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,19947,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,20288,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,20118,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,19948,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,20289,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,20119,Aisa FM,20.0,0,121.0,121.0,1.0
2,119.0,19949,Aisa FM,20.0,2,119.0,121.0,0.9834710743801653
24,97.0,19096,Aisa FM,20.0,24,97.0,121.0,0.8016528925619835
88,33.0,19097,Aisa FM,20.0,88,33.0,121.0,0.2727272727272727
27,94.0,19098,Aisa FM,20.0,27,94.0,121.0,0.7768595041322314
2,119.0,22990,Aisa FM,20.0,2,119.0,121.0,0.9834710743801653
7,103.0,22820,Aisa FM,20.0,7,103.0,110.0,0.9363636363636364
52,69.0,22650,Aisa FM,20.0,52,69.0,121.0,0.5702479338842975
62,48.0,23161,Aisa FM,20.0,62,48.0,110.0,0.43636363636363634
20,90.0,22991,Aisa FM,20.0,20,90.0,110.0,0.8181818181818182
0,100.0,22821,Aisa FM,20.0,0,100.0,100.0,1.0
39,71.0,22651,Aisa FM,20.0,39,71.0,110.0,0.6454545454545455
54,67.0,23162,Aisa FM,20.0,54,67.0,121.0,0.5537190082644629
25,96.0,22992,Aisa FM,20.0,25,96.0,121.0,0.7933884297520661
50,71.0,24012,Aisa FM,20.0,50,71.0,121.0,0.5867768595041323
54,67.0,23842,Aisa FM,20.0,54,67.0,121.0,0.5537190082644629
28,93.0,24183,Aisa FM,20.0,28,93.0,121.0,0.768595041322314
39,82.0,24013,Aisa FM,20.0,39,82.0,121.0,0.6776859504132231
47,74.0,23843,Aisa FM,20.0,47,74.0,121.0,0.6115702479338843
50,50.0,23671,Aisa FM,20.0,50,50.0,100.0,0.5
31,79.0,23501,Aisa FM,20.0,31,79.0,110.0,0.7181818181818181
51,59.0,23331,Aisa FM,20.0,51,59.0,110.0,0.5363636363636364
45,65.0,23672,Aisa FM,20.0,45,65.0,110.0,0.5909090909090909
63,58.0,23502,Aisa FM,20.0,63,58.0,121.0,0.4793388429752066
52,69.0,23332,Aisa FM,20.0,52,69.0,121.0,0.5702479338842975
26,84.0,23673,Aisa FM,20.0,26,84.0,110.0,0.7636363636363637
23,87.0,22822,Aisa FM,20.0,23,87.0,110.0,0.7909090909090909
1,120.0,22652,Aisa FM,20.0,1,120.0,121.0,0.9917355371900827
17,104.0,23163,Aisa FM,20.0,17,104.0,121.0,0.859504132231405
73,48.0,22993,Aisa FM,20.0,73,48.0,121.0,0.39669421487603307
88,22.0,22823,Aisa FM,20.0,88,22.0,110.0,0.2
36,85.0,22653,Aisa FM,20.0,36,85.0,121.0,0.7024793388429752
54,67.0,23164,Aisa FM,20.0,54,67.0,121.0,0.5537190082644629
69,52.0,22994,Aisa FM,20.0,69,52.0,121.0,0.4297520661157025
47,63.0,22824,Aisa FM,20.0,47,63.0,110.0,0.5727272727272728
15,106.0,22654,Aisa FM,20.0,15,106.0,121.0,0.8760330578512396
45,76.0,23503,Aisa FM,20.0,45,76.0,121.0,0.628099173553719
13,108.0,23333,Aisa FM,20.0,13,108.0,121.0,0.8925619834710744
34,76.0,23674,Aisa FM,20.0,34,76.0,110.0,0.6909090909090909
40,81.0,23504,Aisa FM,20.0,40,81.0,121.0,0.6694214876033058
31,90.0,23334,Aisa FM,20.0,31,90.0,121.0,0.743801652892562
45,65.0,23675,Aisa FM,20.0,45,65.0,110.0,0.5909090909090909
38,83.0,23505,Aisa FM,20.0,38,83.0,121.0,0.6859504132231405
56,65.0,23335,Aisa FM,20.0,56,65.0,121.0,0.5371900826446281
32,78.0,23676,Aisa FM,20.0,32,78.0,110.0,0.7090909090909091
39,82.0,23506,Aisa FM,20.0,39,82.0,121.0,0.6776859504132231
49,72.0,24184,Aisa FM,20.0,49,72.0,121.0,0.5950413223140496
65,56.0,24014,Aisa FM,20.0,65,56.0,121.0,0.4628099173553719
65,56.0,23844,Aisa FM,20.0,65,56.0,121.0,0.4628099173553719
47,74.0,24185,Aisa FM,20.0,47,74.0,121.0,0.6115702479338843
50,71.0,24015,Aisa FM,20.0,50,71.0,121.0,0.5867768595041323
62,59.0,23845,Aisa FM,20.0,62,59.0,121.0,0.48760330578512395
41,80.0,24186,Aisa FM,20.0,41,80.0,121.0,0.6611570247933884
24,97.0,24016,Aisa FM,20.0,24,97.0,121.0,0.8016528925619835
18,103.0,23846,Aisa FM,20.0,18,103.0,121.0,0.8512396694214877
